PSS10_avg,Dem_age
3.6,42
1,40
2.1,52
2.4,36
3.5,33
NA,18
2.5,19
3.2,28
2.8,61
3.9,47
3.6,37
2.5,50
3.7,29
3,64
2.5,36
3.5,22
1.2,50
2.5,63
2.2,60
2.9,35
2.7,20
NA,43
2.8,59
4.1,18
3.9,24
3,36
2.7,66
NA,51
NA,61
NA,28
2.4,51
2.8,42
1.3,50
2,74
NA,35
3.6,43
2,35
1.6,54
2.2,29
1.7,34
3.7,25
2,51
2.2,50
1.1,56
2.2,41
3,22
2.4,30
3.3,50
2.7,38
1.5,72
2,38
1.4,54
2.9,66
2.9,54
1.9,37
2.1,57
1.6,37
2.4,24
2.6,40
2.2,49
2.5,44
1.3,35
3,56
1.2,70
2.8,52
2,37
2.2,60
1.9,47
3.8,34
1.5,55
3.2,18
2.8,39
2,44
1.3,66
3.22222222222222,57
3.2,37
2.8,35
2.5,40
1.6,71
2.3,42
3.1,41
3,61
2.9,54
1,68
NA,50
3,61
3.5,36
3,53
3.4,46
4.1,32
3,33
1.8,48
NA,51
1.4,67
2.2,47
1.2,50
3,64
1.7,62
3.6,64
3.3,60
3.6,36
3,52
1.4,51
2.2,46
3,44
1.8,21
2.8,55
2.2,50
3.9,25
2.1,54
2,40
NA,46
2.2,30
3.3,47
3.7,42
2.8,26
3.4,34
1.9,63
2.5,66
2.9,43
2.3,66
3.3,46
2.6,57
2.5,70
2.2,63
1.5,69
3.4,33
2.2,38
2.8,35
2,50
3.9,46
NA,54
NA,26
3,26
2.4,44
2.9,40
3.2,65
2.3,40
2.9,41
2.8,69
3.4,44
NA,62
3.8,26
2.4,80
NA,22
2.2,66
2.6,78
3.1,59
3.1,32
3.4,70
2.8,67
2.1,29
2,34
NA,36
2.7,37
3.1,38
1.66666666666667,56
1.44444444444444,57
2.9,43
1.9,62
2.1,41
NA,64
2.2,39
2.25,53
3,36
2.9,63
2.4,56
2.9,45
2.2,43
NA,45
2.9,46
2.7,41
2.1,50
2.6,57
2.4,48
2.5,42
3.2,40
2.6,57
1.7,78
1.4,42
2.6,59
1.88888888888889,60
2.4,51
4.44444444444444,30
1.8,59
2.7,43
2.1,61
4.5,29
2.8,52
2.6,52
2.8,56
NA,40
2.5,38
3.1,65
NA,56
1.66666666666667,60
2.66666666666667,55
NA,60
2.4,57
2.7,40
1.7,54
2.3,50
2.3,31
2.3,56
3.1,88
2,58
1.1,54
2.5,59
4.2,38
2.9,50
2,28
1.8,68
2.5,54
1.7,64
1.3,65
2.5,60
2.4,35
2,26
2.5,38
3.5,24
2.7,61
NA,62
2.3,29
3.3,49
NA,51
1.4,69
2.2,48
2,43
2.3,60
3.2,26
3.3,24
NA,50
2.3,56
2.4,47
2.8,45
2.4,63
1.5,24
1.2,56
3,83
2.1,60
2.8,58
2.4,49
2.3,57
2.7,32
2.8,53
1.3,38
2.1,62
2.1,58
1.7,63
2.5,59
1.9,25
2.1,49
2.8,60
1.5,29
2.3,70
2.4,30
3.4,44
2.6,65
2.5,61
2.8,61
1.7,24
1.7,67
2.2,47
3.4,60
1.1,31
2.7,45
2.9,50
2.9,35
4,50
4.4,27
4.4,41
2.8,68
3.44444444444444,47
1.3,61
1.2,60
2.5,56
1.9,39
3.88888888888889,31
3.8,26
2.7,39
1.6,65
1.5,52
NA,82
3,38
2.6,38
NA,50
3.3,60
3.2,37
3.9,34
2.7,47
3.4,22
3.1,46
NA,23
1.5,46
3.1,44
2.5,28
3.7,49
NA,40
2,58
NA,56
2.5,43
2.5,66
2.6,62
2,34
2.1,68
3.7,21
NA,18
3.3,31
2.8,68
2.7,26
2.7,40
1.5,63
3.1,39
1.9,69
1.1,58
1.5,64
1.5,35
2.5,27
1.9,81
2.9,62
3,54
3.9,26
2.4,36
3.2,32
NA,63
2.6,19
2.6,19
3.3,57
2.1,50
1.7,63
4.1,61
3,39
2.4,54
4.8,19
NA,64
2.7,60
3.2,20
2.4,34
3.9,42
2.8,46
2.1,40
3.2,56
3.25,53
3.1,32
NA,49
3.5,43
2.2,55
3.4,42
3.6,31
1.6,26
1.9,30
1.14285714285714,73
3,44
2.4,19
3.3,19
3.5,63
2.7,67
2.9,65
1.3,49
2.7,48
2.4,43
NA,51
2.6,23
2.3,52
2.5,55
2.2,36
2.5,53
2.5,56
3.57142857142857,55
1.77777777777778,60
2.7,45
2.1,62
2.6,20
1.6,52
1.5,64
3,45
3.8,24
2.7,33
2.5,35
NA,36
3.2,37
2.6,24
2.8,30
1.7,70
3.4,28
NA,57
2.5,18
3.3,45
3.9,23
3.7,20
3.8,25
2.7,40
4.3,26
3.6,24
NA,39
2.25,42
3.7,32
2.5,74
2.3,74
4,36
2.9,18
NA,47
2.5,65
3.8,24
2.5,70
3.66666666666667,43
2,35
3,41
4.4,37
1.5,63
4.2,20
1.4,67
3.7,23
2.9,51
2.2,62
2.6,59
1.4,44
4.5,23
2,55
2.6,35
3.5,29
2.8,62
2.7,54
2.6,37
2.3,43
1.7,40
1.8,40
2.7,43
3.5,18
4.1,32
1.5,35
1.5,29
1.7,55
2.5,49
NA,30
3,47
3.9,30
NA,42
2.4,36
3.2,30
NA,52
2,50
NA,19
3.2,22
3.7,44
2.3,18
2.8,67
3.3,52
3.4,27
NA,21
1.6,22
2.4,25
2.8,48
2.7,41
NA,38
2.7,49
3.5,56
2,56
2.7,34
3.8,20
1.9,67
1.6,43
1.1,45
1.8,33
2.7,33
2.6,45
2.2,45
3,21
4.1,19
NA,22
2.4,19
3,57
3.4,57
2.4,20
2.1,45
4,21
NA,18
1.4,62
2.2,39
3.4,22
3.8,59
1.8,25
2.8,23
3,27
1.8,44
1.7,52
2.4,60
2.3,53
3.4,30
2.5,30
3.4,25
3.4,20
3.1,30
2.8,44
3.1,19
3.1,36
2.4,30
1.7,67
3.1,31
3.1,23
2.9,30
2.7,39
1.6,39
1.8,50
3.1,39
1.3,53
1.5,42
4.3,30
2.7,28
3,59
2.9,32
2.8,28
3,32
3.4,59
1.6,25
3,24
1.6,63
2.9,33
NA,18
2.6,48
4.6,26
1.33333333333333,53
3.6,50
2.4,30
NA,41
3,57
3.2,30
3.2,30
NA,77
2.1,43
2.2,41
3.6,31
NA,56
2.6,52
2.5,55
3.4,36
